epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,13658.4,3.33888,4.5356,3.74902,0.77542,0.60798,0.68051,0.36625,3.32398,2.278,3.43752,0.00747997,0.00747997,0.00747997
103,13791.5,3.35123,4.51127,3.74235,0.75981,0.61372,0.67774,0.36501,3.33369,2.28313,3.44235,0.00743468,0.00743468,0.00743468
104,13924.4,3.3255,4.4928,3.72497,0.75194,0.62113,0.67829,0.36568,3.35642,2.27029,3.45407,0.00738913,0.00738913,0.00738913
105,14057.8,3.31712,4.46187,3.71272,0.76519,0.62081,0.68154,0.36671,3.35739,2.26621,3.45409,0.00734332,0.00734332,0.00734332
106,14191.7,3.33068,4.48712,3.73511,0.76187,0.63013,0.68291,0.36745,3.34644,2.24923,3.45513,0.00729725,0.00729725,0.00729725
107,14324.8,3.3475,4.48833,3.74165,0.76545,0.628,0.6838,0.36738,3.34973,2.24512,3.46425,0.00725094,0.00725094,0.00725094
108,14458.4,3.32284,4.46479,3.71388,0.77582,0.62097,0.6855,0.36784,3.34114,2.24583,3.45371,0.00720439,0.00720439,0.00720439
109,14591.9,3.33393,4.4853,3.71055,0.77579,0.62064,0.68439,0.37032,3.30857,2.25051,3.42371,0.00715761,0.00715761,0.00715761
110,14725.4,3.33424,4.4624,3.71601,0.77743,0.63159,0.69296,0.37685,3.29791,2.22611,3.41438,0.00711059,0.00711059,0.00711059
111,14858.6,3.31957,4.44921,3.70184,0.78207,0.62447,0.692,0.37737,3.29497,2.22115,3.40072,0.00706335,0.00706335,0.00706335
112,14992.4,3.29775,4.43692,3.70514,0.77102,0.62632,0.68993,0.37677,3.30069,2.21388,3.40302,0.00701588,0.00701588,0.00701588
113,15125.7,3.30568,4.42393,3.69902,0.77105,0.62903,0.68969,0.37853,3.29473,2.20945,3.40046,0.0069682,0.0069682,0.0069682
114,15258.6,3.31018,4.4304,3.70035,0.77043,0.63101,0.69026,0.37875,3.2958,2.20112,3.40303,0.00692031,0.00692031,0.00692031
115,15392,3.30879,4.41314,3.69012,0.78621,0.62963,0.6951,0.3777,3.30213,2.19346,3.41289,0.00687222,0.00687222,0.00687222
